Indonesia,Ternate,Makian,Galela
saya memasak mie di dapur,...,...,...
saya mencuci pakaian di sungai,...,...,...
saya berjalan ke sekolah pagi hari,...,...,...
saya duduk bersama teman di kelas,...,...,...
dia bermain bola di lapangan,...,...,...
dia berlari di jalan pagi hari,...,...,...
dia tidur siang di kamar,...,...,...
dia belajar matematika di sekolah,...,...,...
dia membantu ibu di dapur,...,...,...
dia memancing ikan di laut,...,...,...
dia memperbaiki sepeda di halaman,...,...,...
dia menyapu rumah setiap pagi,...,...,...
dia menonton film di televisi,...,...,...
dia menulis surat untuk temannya,...,...,...
kami makan bersama di rumah,...,...,...
kami pergi ke pantai sore hari,...,...,...
kami belajar kelompok di kelas,...,...,...
kami bermain gitar di halaman,...,...,...
kami membantu guru di sekolah,...,...,...
kami membersihkan lingkungan desa,...,...,...
kami menanam pohon di kebun,...,...,...
kami membawa air dari sumur,...,...,...
kami duduk santai di teras rumah,...,...,...
kami berbicara tentang pelajaran,...,...,...
mereka bekerja di kebun setiap hari,...,...,...
mereka menangkap ikan di laut,...,...,...
mereka memasak makanan di dapur,...,...,...
mereka membersihkan halaman rumah,...,...,...
mereka bermain bola di lapangan,...,...,...
mereka belajar bersama di kelas,...,...,...
mereka duduk di bawah pohon,...,...,...
mereka berjalan ke pasar pagi hari,...,...,...
mereka minum air setelah bekerja,...,...,...
mereka beristirahat di rumah,...,...,...
ayah pergi ke laut pagi hari,...,...,...
ayah memperbaiki perahu di pantai,...,...,...
ayah membeli ikan di pasar,...,...,...
ayah bekerja di kebun setiap hari,...,...,...
ayah duduk di teras rumah,...,...,...
ayah berbicara dengan tetangga,...,...,...
ayah minum kopi di pagi hari,...,...,...
ayah tidur siang setelah bekerja,...,...,...
ayah mencuci tangan sebelum makan,...,...,...
ayah membantu ibu di dapur,...,...,...
ibu memasak nasi di dapur,...,...,...
ibu mencuci pakaian di sungai,...,...,...
ibu menyapu rumah setiap pagi,...,...,...
ibu membeli sayur di pasar,...,...,...
ibu menyiapkan makanan untuk keluarga,...,...,...
ibu membersihkan meja makan,...,...,...
ibu mencuci piring setelah makan,...,...,...
ibu duduk di ruang tamu,...,...,...
ibu berbicara dengan anak-anak,...,...,...
ibu beristirahat di sore hari,...,...,...
,...,...,...
adik bermain di halaman rumah,...,...,...
adik belajar membaca di kamar,...,...,...
adik menonton televisi di ruang tamu,...,...,...
adik makan nasi bersama keluarga,...,...,...
adik minum susu sebelum tidur,...,...,...
adik membantu ibu di dapur,...,...,...
adik menggambar di buku tulis,...,...,...
adik berlari di halaman,...,...,...
adik tidur siang di kamar,...,...,...
adik bermain dengan teman,...,...,...
kakak belajar di kamar setiap malam,...,...,...
kakak pergi ke sekolah pagi hari,...,...,...
saya makan nasi di halaman minggu depan,...,...,...
saya makan nasi di pantai pagi hari,...,...,...
saya makan nasi di pantai siang hari,...,...,...
saya makan nasi di pantai sore hari,...,...,...
saya makan nasi di pantai malam hari,...,...,...
saya akan pergi ke pasar besok pagi,...,...,...
saya sedang belajar di kamar sekarang,...,...,...
saya sudah makan nasi tadi malam,...,...,...
saya ingin membeli ikan segar,...,...,...
saya harus menyelesaikan tugas hari ini,...,...,...
saya suka bermain bola di lapangan,...,...,...
saya tidak pergi ke sekolah hari ini,...,...,...
saya sering membaca buku di rumah,...,...,...
saya jarang menonton televisi,...,...,...
saya selalu bangun pagi setiap hari,...,...,...
dia akan membantu temannya besok,...,...,...
dia sedang bermain di halaman rumah,...,...,...
dia sudah menyelesaikan pekerjaannya,...,...,...
dia ingin belajar bahasa daerah,...,...,...
dia harus pergi ke sekolah sekarang,...,...,...
dia suka makan ikan bakar,...,...,...
dia tidak tidur siang hari ini,...,...,...
dia sering pergi ke laut,...,...,...
dia jarang membantu di rumah,...,...,...
dia selalu datang tepat waktu,...,...,...
kami akan pergi ke pantai minggu depan,...,...,...
kami sedang membersihkan rumah sekarang,...,...,...
kami sudah menyelesaikan pekerjaan tadi,...,...,...
kami ingin belajar bersama di kelas,...,...,...
kami harus datang lebih awal besok,...,...,...
kami suka bermain di lapangan,...,...,...
kami tidak pergi ke sekolah hari ini,...,...,...
kami sering berkumpul di rumah,...,...,...
kami jarang keluar malam hari,...,...,...
kami selalu membantu orang tua,...,...,...
mereka akan bekerja di kebun besok,...,...,...
mereka sedang menangkap ikan sekarang,...,...,...
mereka sudah pulang dari pasar,...,...,...
mereka ingin membeli peralatan baru,...,...,...
mereka harus menyelesaikan tugas hari ini,...,...,...
mereka suka bermain bola bersama,...,...,...
mereka tidak pergi ke laut hari ini,...,...,...
mereka sering berkumpul di desa,...,...,...
mereka jarang beristirahat siang,...,...,...
mereka selalu bekerja keras setiap hari,...,...,...
ayah akan pergi ke kota besok,...,...,...
ayah sedang memperbaiki rumah sekarang,...,...,...
ayah sudah membeli ikan tadi pagi,...,...,...
ayah ingin beristirahat di rumah,...,...,...
ayah harus bekerja lebih keras,...,...,...
ayah suka minum kopi pagi hari,...,...,...
ayah tidak pergi ke kebun hari ini,...,...,...
ayah sering berbicara dengan tetangga,...,...,...
ayah jarang tidur siang,...,...,...
ayah selalu bangun lebih awal,...,...,...
ibu akan memasak makanan besok,...,...,...
ibu sedang mencuci pakaian sekarang,...,...,...
ibu sudah membersihkan rumah tadi pagi,...,...,...
ibu ingin membeli sayur segar,...,...,...
ibu harus menyiapkan makanan,...,...,...
ibu suka memasak di dapur,...,...,...
ibu tidak pergi ke pasar hari ini,...,...,...
ibu sering membantu tetangga,...,...,...
ibu jarang beristirahat siang,...,...,...
ibu selalu bangun pagi,...,...,...
adik akan bermain di halaman besok,...,...,...
adik sedang belajar sekarang,...,...,...
adik sudah makan tadi pagi,...,...,...
adik ingin membeli mainan baru,...,...,...
adik harus tidur lebih awal,...,...,...
adik suka bermain dengan teman,...,...,...
adik tidak pergi ke sekolah hari ini,...,...,...
adik sering menonton televisi,...,...,...
adik jarang membantu di rumah,...,...,...
adik selalu bangun pagi,...,...,...
kakak akan belajar di rumah besok,...,...,...
kakak sedang menulis tugas sekarang,...,...,...
kakak sudah membaca buku tadi malam,...,...,...
saya makan air di kamar tadi pagi,...,...,...
saya makan air di kamar kemarin,...,...,...
saya makan air di kamar besok,...,...,...
saya makan air di kamar sekarang,...,...,...
saya makan air di kamar setiap hari,...,...,...
saya makan air di kamar minggu depan,...,...,...
saya makan air di halaman pagi hari,...,...,...
hari ini cuaca sangat panas di desa,...,...,...
pagi ini saya melihat matahari terbit,...,...,...
malam ini kami berkumpul di rumah,...,...,...
besok kami akan pergi ke laut bersama,...,...,...
tadi saya bertemu teman lama di pasar,...,...,...
sekarang saya sedang duduk di teras,...,...,...
nanti sore kami bermain bola di lapangan,...,...,...
kemarin saya membantu ibu memasak,...,...,...
minggu depan kami akan pergi ke kota,...,...,...
tahun ini kami belajar banyak hal baru,...,...,...
saya pergi ke sekolah menggunakan sepeda,...,...,...
dia berjalan kaki menuju pasar pagi hari,...,...,...
kami duduk bersama di bawah pohon besar,...,...,...
mereka bekerja keras di kebun setiap hari,...,...,...
ayah memperbaiki jaring ikan di pantai,...,...,...
ibu memasak makanan untuk keluarga,...,...,...
adik bermain dengan kucing di halaman,...,...,...
kakak membaca buku di kamar tidur,...,...,...
guru mengajar di kelas setiap pagi,...,...,...
teman saya datang ke rumah sore hari,...,...,...
saya membeli buah di pasar pagi tadi,...,...,...
dia membawa air dari sumur setiap hari,...,...,...
kami membersihkan rumah bersama-sama,...,...,...
mereka menanam sayur di kebun belakang,...,...,...
ayah pergi ke laut dengan perahu kecil,...,...,...
ibu mencuci pakaian di sungai,...,...,...
adik menggambar di buku tulisnya,...,...,...
kakak menulis tugas di meja belajar,...,...,...
guru menjelaskan pelajaran di kelas,...,...,...
teman saya membantu saya belajar,...,...,...
saya melihat burung terbang di langit,...,...,...
dia mendengar suara ombak di laut,...,...,...
kami merasakan angin sejuk di pantai,...,...,...
mereka mencium aroma makanan di dapur,...,...,...
ayah mendengar berita di radio,...,...,...
ibu melihat anak-anak bermain,...,...,...
adik tertawa bersama teman-teman,...,...,...
kakak berbicara dengan guru,...,...,...
guru memanggil siswa ke depan kelas,...,...,...
teman saya mengajak saya bermain,...,...,...
saya membuka pintu rumah pagi hari,...,...,...
dia menutup jendela saat malam tiba,...,...,...
kami memasang lampu di rumah,...,...,...
mereka memperbaiki jalan desa,...,...,...
ayah menyalakan api di dapur,...,...,...
ibu mematikan lampu sebelum tidur,...,...,...
saya makan ikan di pasar siang hari,...,...,...
saya makan ikan di pasar sore hari,...,...,...
saya makan ikan di pasar malam hari,...,...,...
saya makan ikan di pasar tadi pagi,...,...,...
saya makan ikan di pasar kemarin,...,...,...
saya makan ikan di pasar besok,...,...,...
saya makan ikan di pasar sekarang,...,...,...
saya makan ikan di pasar setiap hari,...,...,...
saya makan ikan di pasar minggu depan,...,...,...
saya makan ikan di laut pagi hari,...,...,...
saya makan ikan di laut siang hari,...,...,...
saya makan ikan di laut sore hari,...,...,...
saya makan ikan di laut malam hari,...,...,...
saya makan ikan di laut tadi pagi,...,...,...
saya makan ikan di laut kemarin,...,...,...
saya makan ikan di laut besok,...,...,...
saya makan ikan di laut sekarang,...,...,...
saya makan ikan di laut setiap hari,...,...,...
saya makan ikan di laut minggu depan,...,...,...
saya makan ikan di kebun pagi hari,...,...,...
saya makan ikan di kebun siang hari,...,...,...
saya makan ikan di kebun sore hari,...,...,...
saya makan ikan di kebun malam hari,...,...,...
saya makan ikan di kebun tadi pagi,...,...,...
saya makan ikan di kebun kemarin,...,...,...
saya makan ikan di kebun besok,...,...,...
saya makan ikan di kebun sekarang,...,...,...
saya makan ikan di kebun setiap hari,...,...,...
saya makan ikan di kebun minggu depan,...,...,...
saya makan ikan di dapur pagi hari,...,...,...
saya makan ikan di dapur siang hari,...,...,...
saya makan ikan di dapur sore hari,...,...,...
saya makan ikan di dapur malam hari,...,...,...
saya makan ikan di dapur tadi pagi,...,...,...
saya makan ikan di dapur kemarin,...,...,...
saya makan ikan di dapur besok,...,...,...
saya makan ikan di dapur sekarang,...,...,...
saya makan ikan di dapur setiap hari,...,...,...
saya makan ikan di dapur minggu depan,...,...,...
saya makan ikan di kamar pagi hari,...,...,...
saya makan ikan di kamar siang hari,...,...,...
saya makan ikan di kamar sore hari,...,...,...
saya makan ikan di kamar malam hari,...,...,...
saya makan ikan di kamar tadi pagi,...,...,...
saya makan ikan di kamar kemarin,...,...,...
saya makan ikan di kamar besok,...,...,...
saya makan ikan di kamar sekarang,...,...,...
saya makan ikan di kamar setiap hari,...,...,...
saya makan ikan di kamar minggu depan,...,...,...
saya makan ikan di halaman pagi hari,...,...,...
saya makan ikan di halaman siang hari,...,...,...
saya makan ikan di halaman sore hari,...,...,...
saya makan ikan di halaman malam hari,...,...,...
saya makan ikan di halaman tadi pagi,...,...,...
saya makan ikan di halaman kemarin,...,...,...
saya makan ikan di halaman besok,...,...,...
saya makan ikan di halaman sekarang,...,...,...
saya makan ikan di halaman setiap hari,...,...,...
saya makan ikan di halaman minggu depan,...,...,...
saya makan ikan di pantai pagi hari,...,...,...
saya makan ikan di pantai siang hari,...,...,...
saya makan ikan di pantai sore hari,...,...,...
saya makan ikan di pantai malam hari,...,...,...
saya makan ikan di pantai tadi pagi,...,...,...
saya makan ikan di pantai kemarin,...,...,...
saya makan ikan di pantai besok,...,...,...
saya makan ikan di pantai sekarang,...,...,...
saya makan ikan di pantai setiap hari,...,...,...
saya makan ikan di pantai minggu depan,...,...,...
saya makan ikan di jalan pagi hari,...,...,...
saya makan ikan di jalan siang hari,...,...,...
saya makan ikan di jalan sore hari,...,...,...
saya makan ikan di jalan malam hari,...,...,...
saya makan ikan di jalan tadi pagi,...,...,...
saya makan ikan di jalan kemarin,...,...,...
saya makan ikan di jalan besok,...,...,...
saya makan ikan di jalan sekarang,...,...,...
saya makan ikan di jalan setiap hari,...,...,...
saya makan ikan di jalan minggu depan,...,...,...
saya makan nasi di rumah,,,
saya minum air dingin setelah berlari,,,
saya membaca buku cerita sebelum tidur,,,
saya menulis tugas di meja belajar,,,
saya melihat televisi bersama keluarga,,,
saya membeli ikan segar di pasar pagi,,,
saya memasak mie instan di dapur,,,
saya mencuci pakaian di sungai dekat rumah,,,
saya berjalan ke sekolah setiap pagi,,,
saya duduk bersama teman di kelas,,,
dia bermain bola di lapangan desa,,,
dia berlari cepat di jalan utama,,,
dia tidur siang di kamar setelah makan,,,
dia belajar matematika dengan serius,,,
dia membantu ibu memasak di dapur,,,
dia memancing ikan di laut sore hari,,,
dia memperbaiki sepeda yang rusak,,,
dia menyapu halaman setiap pagi,,,
dia menonton film di televisi malam ini,,,
dia menulis surat untuk sahabatnya,,,
kami makan bersama di rumah nenek,,,
kami pergi ke pantai saat liburan,,,
kami belajar kelompok di perpustakaan,,,
kami bermain gitar di teras rumah,,,
kami membantu guru membersihkan kelas,,,
kami membersihkan lingkungan desa,,,
kami menanam pohon di kebun belakang,,,
kami membawa air dari sumur tua,,,
kami duduk santai di bawah pohon,,,
kami berbicara tentang rencana masa depan,,,
mereka bekerja di kebun setiap hari,,,
mereka menangkap ikan di laut pagi hari,,,
mereka memasak makanan untuk keluarga,,,
mereka membersihkan halaman rumah,,,
mereka bermain bola di lapangan luas,,,
mereka belajar bersama di sekolah,,,
mereka duduk di bawah pohon besar,,,
mereka berjalan ke pasar setiap pagi,,,
mereka minum air setelah bekerja keras,,,
mereka beristirahat di rumah sore hari,,,
ayah pergi ke laut menggunakan perahu,,,
ayah memperbaiki jaring ikan di pantai,,,
ayah membeli ikan segar di pasar,,,
ayah bekerja di kebun sepanjang hari,,,
ayah duduk di teras sambil minum kopi,,,
ayah berbicara dengan tetangga dekat,,,
ayah minum kopi panas di pagi hari,,,
ayah tidur siang setelah bekerja,,,
ayah mencuci tangan sebelum makan,,,
ayah membantu ibu di dapur,,,
ibu memasak nasi di dapur setiap pagi,,,
ibu mencuci pakaian di sungai,,,
ibu menyapu rumah dengan rapi,,,
ibu membeli sayur di pasar tradisional,,,
ibu menyiapkan makanan untuk keluarga,,,
ibu membersihkan meja makan,,,
ibu mencuci piring setelah makan,,,
ibu duduk di ruang tamu,,,
ibu berbicara dengan anak-anak,,,
ibu beristirahat di sore hari,,,
adik bermain di halaman rumah,,,
adik belajar membaca di kamar,,,
adik menonton televisi bersama kakak,,,
adik makan nasi dengan lahap,,,
adik minum susu sebelum tidur,,,
adik membantu ibu mencuci piring,,,
adik menggambar di buku tulis,,,
adik berlari di halaman depan,,,
adik tidur siang di kamar,,,
adik bermain dengan teman sebaya,,,
kakak belajar di kamar setiap malam,,,
kakak pergi ke sekolah pagi hari,,,
kakak membantu ayah di kebun,,,
kakak membaca buku pelajaran,,,
kakak menulis tugas di meja belajar,,,
kakak bermain bola di lapangan,,,
kakak membantu ibu memasak,,,
kakak duduk bersama teman,,,
kakak menonton televisi malam hari,,,
kakak tidur setelah belajar,,,
saya akan pergi ke pasar besok pagi,,,
saya sedang belajar di kamar sekarang,,,
saya sudah makan nasi tadi malam,,,
saya ingin membeli ikan segar,,,
saya harus menyelesaikan tugas hari ini,,,
saya suka bermain bola di lapangan,,,
saya tidak pergi ke sekolah hari ini,,,
saya sering membaca buku di rumah,,,
saya jarang menonton televisi,,,
saya selalu bangun pagi setiap hari,,,
dia akan membantu temannya besok,,,
dia sedang bermain di halaman rumah,,,
dia sudah menyelesaikan pekerjaannya,,,
dia ingin belajar bahasa daerah,,,
dia harus pergi ke sekolah sekarang,,,
dia suka makan ikan bakar,,,
dia tidak tidur siang hari ini,,,
dia sering pergi ke laut,,,
dia jarang membantu di rumah,,,
dia selalu datang tepat waktu,,,
kami akan pergi ke pantai minggu depan,,,
kami sedang membersihkan rumah sekarang,,,
kami sudah menyelesaikan pekerjaan tadi,,,
kami ingin belajar bersama di kelas,,,
kami harus datang lebih awal besok,,,
kami suka bermain di lapangan,,,
kami tidak pergi ke sekolah hari ini,,,
kami sering berkumpul di rumah,,,
kami jarang keluar malam hari,,,
kami selalu membantu orang tua,,,
mereka akan bekerja di kebun besok,,,
mereka sedang menangkap ikan sekarang,,,
mereka sudah pulang dari pasar,,,
mereka ingin membeli peralatan baru,,,
mereka harus menyelesaikan tugas hari ini,,,
mereka suka bermain bola bersama,,,
mereka tidak pergi ke laut hari ini,,,
mereka sering berkumpul di desa,,,
mereka jarang beristirahat siang,,,
mereka selalu bekerja keras,,,
hari ini cuaca sangat panas di desa,,,
pagi ini saya melihat matahari terbit,,,
malam ini kami berkumpul di rumah,,,
besok kami akan pergi ke laut bersama,,,
tadi saya bertemu teman lama di pasar,,,
sekarang saya sedang duduk di teras,,,
nanti sore kami bermain bola,,,
kemarin saya membantu ibu memasak,,,
minggu depan kami pergi ke kota,,,
tahun ini kami belajar hal baru,,,
saya pergi ke sekolah menggunakan sepeda,,,
dia berjalan kaki menuju pasar,,,
kami duduk di bawah pohon besar,,,
mereka bekerja keras di kebun,,,
ayah memperbaiki perahu di pantai,,,
ibu memasak makanan untuk keluarga,,,
adik bermain dengan kucing,,,
kakak membaca buku di kamar,,,
guru mengajar di kelas,,,
teman saya datang ke rumah,,,
saya membeli buah di pasar pagi tadi,,,
dia membawa air dari sumur,,,
kami membersihkan rumah bersama,,,
mereka menanam sayur di kebun,,,
ayah pergi ke laut dengan perahu kecil,,,
ibu mencuci pakaian di sungai,,,
adik menggambar di buku,,,
kakak menulis tugas sekolah,,,
guru menjelaskan pelajaran,,,
teman saya membantu belajar,,,
saya melihat burung terbang di langit,,,
dia mendengar suara ombak di laut,,,
kami merasakan angin sejuk,,,
mereka mencium aroma makanan,,,
ayah mendengar berita di radio,,,
ibu melihat anak bermain,,,
adik tertawa bersama teman,,,
kakak berbicara dengan guru,,,
guru memanggil siswa,,,
teman saya mengajak bermain,,,
saya membuka pintu rumah pagi hari,,,
dia menutup jendela saat malam,,,
kami memasang lampu di rumah,,,
mereka memperbaiki jalan desa,,,
ayah menyalakan api di dapur,,,
ibu mematikan lampu sebelum tidur,,,
adik membuka buku pelajaran,,,
kakak menutup pintu kamar,,,
guru membuka kelas pagi hari,,,
teman saya menutup buku,,,
saya merasa senang hari ini,,,
dia merasa lelah setelah bekerja,,,
kami merasa bangga atas hasil kerja,,,
mereka merasa puas dengan hasilnya,,,
ayah merasa tenang di rumah,,,
ibu merasa bahagia bersama keluarga,,,
adik merasa takut saat gelap,,,
kakak merasa percaya diri,,,
guru merasa bangga pada siswa,,,
teman saya merasa senang bertemu,,,
saya membawa tas ke sekolah,,,
dia membawa buku ke kelas,,,
kami membawa makanan saat piknik,,,
mereka membawa alat ke kebun,,,
ayah membawa ikan ke rumah,,,
ibu membawa sayur dari pasar,,,
adik membawa mainan baru,,,
kakak membawa laptop,,,
guru membawa materi pelajaran,,,
teman saya membawa hadiah,,,
saya lupa membawa buku hari ini,,,
dia lupa mengerjakan tugas,,,
kami lupa waktu saat bermain,,,
mereka lupa janji kemarin,,,
ayah lupa membeli gula,,,
ibu lupa mematikan kompor,,,
adik lupa menutup pintu,,,
kakak lupa mengunci rumah,,,
guru lupa membawa buku,,,
teman saya lupa datang,,,
saya ingin pergi ke kota,,,
dia ingin membeli sepatu baru,,,
kami ingin belajar bersama,,,
mereka ingin bekerja di luar kota,,,
ayah ingin beristirahat,,,
ibu ingin memasak makanan enak,,,
adik ingin bermain di luar,,,
kakak ingin melanjutkan kuliah,,,
guru ingin membantu siswa,,,
teman saya ingin bertemu,,,
saya mencoba memasak sendiri,,,
dia mencoba memperbaiki motor,,,
kami mencoba belajar lebih rajin,,,
mereka mencoba membuka usaha,,,
ayah mencoba menanam padi,,,
ibu mencoba resep baru,,,
adik mencoba menggambar,,,
kakak mencoba belajar coding,,,
guru mencoba metode baru,,,
teman saya mencoba membantu,,,
saya mulai belajar bahasa baru,,,
dia mulai bekerja hari ini,,,
kami mulai membersihkan rumah,,,
mereka mulai menanam sayur,,,
ayah mulai memperbaiki rumah,,,
ibu mulai memasak pagi hari,,,
adik mulai belajar membaca,,,
kakak mulai menulis skripsi,,,
guru mulai mengajar,,,
teman saya mulai berlatih,,,
saya berhenti bermain saat hujan,,,
dia berhenti bekerja sore hari,,,
kami berhenti belajar sejenak,,,
mereka berhenti berbicara,,,
ayah berhenti merokok,,,
ibu berhenti memasak,,,
adik berhenti menangis,,,
kakak berhenti menonton,,,
guru berhenti menjelaskan,,,
teman saya berhenti berjalan,,,
saya kembali ke rumah sore hari,,,
dia kembali dari pasar,,,
kami kembali ke sekolah,,,
mereka kembali ke desa,,,
ayah kembali dari laut,,,
ibu kembali dari pasar,,,
adik kembali ke kamar,,,
kakak kembali belajar,,,
guru kembali mengajar,,,
teman saya kembali ke rumah,,,
saya belajar dari pengalaman,,,
dia belajar dari kesalahan,,,
kami belajar dari guru,,,
mereka belajar dari buku,,,
ayah belajar memperbaiki mesin,,,
ibu belajar memasak,,,
adik belajar membaca,,,
kakak belajar menulis,,,
guru belajar teknologi baru,,,
teman saya belajar bersama,,,
saya menunggu teman di sekolah,,,
dia menunggu bus di jalan,,,
kami menunggu guru di kelas,,,
mereka menunggu hasil ujian,,,
ayah menunggu di rumah,,,
ibu menunggu di dapur,,,
adik menunggu kakak,,,
kakak menunggu giliran,,,
guru menunggu siswa,,,
teman saya menunggu saya,,,
saya membantu teman belajar,,,
dia membantu orang tua di rumah,,,
kami membantu tetangga,,,
mereka membantu guru,,,
ayah membantu memperbaiki rumah,,,
ibu membantu memasak,,,
adik membantu kakak,,,
kakak membantu adik,,,
guru membantu siswa,,,
teman saya membantu saya,,,
saya percaya pada diri sendiri,,,
dia percaya pada temannya,,,
kami percaya pada guru,,,
mereka percaya pada usaha,,,
ayah percaya pada kerja keras,,,
ibu percaya pada doa,,,
adik percaya pada kakak,,,
kakak percaya pada masa depan,,,
guru percaya pada siswa,,,
teman saya percaya pada saya,,,
saya berharap hari ini menyenangkan,,,
dia berharap sukses di masa depan,,,
kami berharap hasil terbaik,,,
mereka berharap kehidupan lebih baik,,,
ayah berharap keluarga sehat,,,
ibu berharap anak-anak bahagia,,,
adik berharap mendapat hadiah,,,
kakak berharap lulus ujian,,,
guru berharap siswa berhasil,,,
teman saya berharap kita bertemu lagi,,,
